stations_name,latitude,longitude_x,number of bikes,name,distance,address,zip_code,city,longitude_y,categories
Alter Markt,48.306,14.2847,5,J. Leibetseder Restaurant- und BarbetriebsgmbH,139,Hauptplatz 12,4020.0,Linz,14.286,Restaurant
Alter Markt,48.306,14.2847,5,China-Restaurant Kim San,150,Hauptplatz 4,4020.0,Linz,14.287,Chinese Restaurant
Alter Markt,48.306,14.2847,5,Blinis Cafe Restaurant Iris Fabiane Gastronomiebetriebs GmbH & Co,180,Hauptplatz 3,4020.0,Linz,14.287,Inn
Alter Markt,48.306,14.2847,5,Restaurant-Cafe Alte Welt,195,Hauptplatz 4,4020.0,Linz,14.287,Dining and Drinking
Alter Markt,48.306,14.2847,5,Jindrak,153,Hauptstr. 35,4020.0,Linz,14.287,bakeries
Alter Markt,48.306,14.2847,5,Keintzel,465,Rathausgasse 6 - 8,4020.0,Linz,14.288,austrian
Alter Markt,48.306,14.2847,5,RIVA,79,Hauptplatz 13,4020.0,Linz,14.286,italian
Alter Markt,48.306,14.2847,5,K.u.K. Hofbäckerei,113,Pfarrgasse 17,4020.0,Linz,14.288,bakeries
Hauptplatz ,48.306,14.28585,6,J. Leibetseder Restaurant- und BarbetriebsgmbH,139,Hauptplatz 12,4020.0,Linz,14.286,Restaurant
Hauptplatz ,48.306,14.28585,6,China-Restaurant Kim San,150,Hauptplatz 4,4020.0,Linz,14.287,Chinese Restaurant
Hauptplatz ,48.306,14.28585,6,Blinis Cafe Restaurant Iris Fabiane Gastronomiebetriebs GmbH & Co,180,Hauptplatz 3,4020.0,Linz,14.287,Inn
Hauptplatz ,48.306,14.28585,6,Restaurant-Cafe Alte Welt,195,Hauptplatz 4,4020.0,Linz,14.287,Dining and Drinking
Hauptplatz ,48.306,14.28585,6,Jindrak,153,Hauptstr. 35,4020.0,Linz,14.287,bakeries
Hauptplatz ,48.306,14.28585,6,Keintzel,465,Rathausgasse 6 - 8,4020.0,Linz,14.288,austrian
Hauptplatz ,48.306,14.28585,6,RIVA,79,Hauptplatz 13,4020.0,Linz,14.286,italian
Hauptplatz ,48.306,14.28585,6,K.u.K. Hofbäckerei,113,Pfarrgasse 17,4020.0,Linz,14.288,bakeries
Huemerstraße ,48.306,14.2983,8,J. Leibetseder Restaurant- und BarbetriebsgmbH,139,Hauptplatz 12,4020.0,Linz,14.286,Restaurant
Huemerstraße ,48.306,14.2983,8,China-Restaurant Kim San,150,Hauptplatz 4,4020.0,Linz,14.287,Chinese Restaurant
Huemerstraße ,48.306,14.2983,8,Blinis Cafe Restaurant Iris Fabiane Gastronomiebetriebs GmbH & Co,180,Hauptplatz 3,4020.0,Linz,14.287,Inn
Huemerstraße ,48.306,14.2983,8,Restaurant-Cafe Alte Welt,195,Hauptplatz 4,4020.0,Linz,14.287,Dining and Drinking
Huemerstraße ,48.306,14.2983,8,Jindrak,153,Hauptstr. 35,4020.0,Linz,14.287,bakeries
Huemerstraße ,48.306,14.2983,8,Keintzel,465,Rathausgasse 6 - 8,4020.0,Linz,14.288,austrian
Huemerstraße ,48.306,14.2983,8,RIVA,79,Hauptplatz 13,4020.0,Linz,14.286,italian
Huemerstraße ,48.306,14.2983,8,K.u.K. Hofbäckerei,113,Pfarrgasse 17,4020.0,Linz,14.288,bakeries
Pfarrplatz,48.306,14.289585,13,J. Leibetseder Restaurant- und BarbetriebsgmbH,139,Hauptplatz 12,4020.0,Linz,14.286,Restaurant
Pfarrplatz,48.306,14.289585,13,China-Restaurant Kim San,150,Hauptplatz 4,4020.0,Linz,14.287,Chinese Restaurant
Pfarrplatz,48.306,14.289585,13,Blinis Cafe Restaurant Iris Fabiane Gastronomiebetriebs GmbH & Co,180,Hauptplatz 3,4020.0,Linz,14.287,Inn
Pfarrplatz,48.306,14.289585,13,Restaurant-Cafe Alte Welt,195,Hauptplatz 4,4020.0,Linz,14.287,Dining and Drinking
Pfarrplatz,48.306,14.289585,13,Jindrak,153,Hauptstr. 35,4020.0,Linz,14.287,bakeries
Pfarrplatz,48.306,14.289585,13,Keintzel,465,Rathausgasse 6 - 8,4020.0,Linz,14.288,austrian
Pfarrplatz,48.306,14.289585,13,RIVA,79,Hauptplatz 13,4020.0,Linz,14.286,italian
Pfarrplatz,48.306,14.289585,13,K.u.K. Hofbäckerei,113,Pfarrgasse 17,4020.0,Linz,14.288,bakeries
Am Volksgarten,48.295,14.29272,11,Lebensfreude Cafe-Restaurant,47,Landstr. 119,4020.0,Linz,14.293,"Café, Coffee Shop, Restaurant"
Am Volksgarten,48.295,14.29272,11,Restaurant Kummerkasten - Steger Elfriede,105,Blumauer Str. 2,4020.0,Linz,14.294,Buffet
Am Volksgarten,48.295,14.29272,11,"City Wok Cafe, Restaurant & Bar Yifeng MA",137,Blumauerstr. 9,4020.0,Linz,14.294,Bistro
Am Volksgarten,48.295,14.29272,11,Das Anton,37,Am Volksgarten 1,4020.0,Linz,14.293,austrian
Am Volksgarten,48.295,14.29272,11,Tropea,329,Coulinstr. 9,4020.0,Linz,14.288,italian
Am Volksgarten,48.295,14.29272,11,tiktak,51,Landstr. 119,4020.0,Linz,14.293,breakfast_brunch
Blumauerstraße,48.295,14.29535,4,Lebensfreude Cafe-Restaurant,47,Landstr. 119,4020.0,Linz,14.293,"Café, Coffee Shop, Restaurant"
Blumauerstraße,48.295,14.29535,4,Restaurant Kummerkasten - Steger Elfriede,105,Blumauer Str. 2,4020.0,Linz,14.294,Buffet
Blumauerstraße,48.295,14.29535,4,"City Wok Cafe, Restaurant & Bar Yifeng MA",137,Blumauerstr. 9,4020.0,Linz,14.294,Bistro
Blumauerstraße,48.295,14.29535,4,Das Anton,37,Am Volksgarten 1,4020.0,Linz,14.293,austrian
Blumauerstraße,48.295,14.29535,4,Tropea,329,Coulinstr. 9,4020.0,Linz,14.288,italian
Blumauerstraße,48.295,14.29535,4,tiktak,51,Landstr. 119,4020.0,Linz,14.293,breakfast_brunch
Landstraße,48.295,14.292987,8,Lebensfreude Cafe-Restaurant,47,Landstr. 119,4020.0,Linz,14.293,"Café, Coffee Shop, Restaurant"
Landstraße,48.295,14.292987,8,Restaurant Kummerkasten - Steger Elfriede,105,Blumauer Str. 2,4020.0,Linz,14.294,Buffet
